position,RW,CM
minutes,33.0
passes_completed,6.0
passes,12.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,1.0
passes_short,3.0
passes_completed_medium,4.0
passes_medium,7.0
passes_completed_long,1.0
passes_long,2.0
passes_total_distance,148.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,2.0
passes_switches,1.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,0.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,1.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,0.0
passes_into_penalty_area,1.0
progressive_passes,2.0
carry_progressive_distance,77.0
assisted_shots,0.0
fouled,0.0
pens_won,0.0
tackles,3.0
interceptions,1.0
blocks,2.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,6.0
pressure_regains,1.0
clearances,0.0
errors,0.0
aerials_won,1.0
aerials_lost,0.0
ball_recoveries,3.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
