position,GK
minutes,2.1386
passes_completed,0.8522
passes,0.9698
dribbles_completed,-0.6606
dribbles,-0.6502
passes_completed_short,-0.3674
passes_short,-0.4381
passes_completed_medium,0.9689
passes_medium,0.7654
passes_completed_long,3.1065
passes_long,3.3153
passes_total_distance,1.7963
passes_free_kicks,1.8924
through_balls,-0.5
passes_pressure,0.3478
passes_switches,0.9525
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.6148
passes_blocked,-0.7471
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.675
gca,-0.525
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.4929
passes_into_penalty_area,-0.6203
progressive_passes,-0.7807
carry_progressive_distance,-0.0455
assisted_shots,-0.6472
fouled,-0.6945
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.7535
pressures,-0.9045
pressure_regains,-0.9168
clearances,-0.5591
errors,3.3832
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,0.7325
pens_conceded,0.7569
fouls,-0.8915
cards_yellow_red,-0.3235
