position,RM,LW
minutes,122.0
passes_completed,36.0
passes,49.0
dribbles_completed,4.0
dribbles,6.0
passes_completed_short,22.0
passes_short,26.0
passes_completed_medium,12.0
passes_medium,17.0
passes_completed_long,1.0
passes_long,3.0
passes_total_distance,486.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,10.0
passes_switches,0.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,4.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,6.0
gca,1.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,3.0
progressive_passes,5.0
carry_progressive_distance,222.0
assisted_shots,1.0
fouled,6.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,19.0
pressure_regains,5.0
clearances,1.0
errors,0.0
aerials_won,2.0
aerials_lost,2.0
ball_recoveries,5.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
